Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
Abcd1,0.185882,-1.114267,1.998179,1.432531
Rap1b,0.869706,-0.376028,1.997959,1.43271
Mycbp2,0.402647,-0.71658,1.997436,1.432587
Atp6v1f,0.268235,0.181466,1.997311,1.432861
Rnf185,0.053824,-2.683738,1.993856,1.429805
Ncstn,0.122941,0.233127,1.99361,1.429957
Pik3ap1,0.318235,-1.013903,1.991557,1.428302
Zcchc14,0.081471,-2.194317,1.991537,1.428679
Twf2,0.322647,-0.712797,1.990689,1.428228
Atp5d,0.252647,0.28512,1.989373,1.427309
Csad,0.126176,-2.131512,1.987627,1.42596
Pbx2,0.229706,-1.119005,1.98512,1.423849
Efnb1,0.074118,-1.859916,1.984975,1.424099
Cuta,0.109412,0.531208,1.983483,1.423002
Ccdc12,0.081176,-1.418581,1.982655,1.42257
Hltf,0.151471,-0.863584,1.980324,1.420634
Rb1cc1,0.168824,-2.52559,1.978662,1.419366
Golga3,0.046765,0.841007,1.976177,1.417274
Zfp68,0.115882,-2.702627,1.972679,1.41417
Wdr26,0.552059,-0.736189,1.971071,1.412955
Acer3,0.317059,0.165088,1.967167,1.409444
Dtnbp1,0.097647,0.661494,1.967157,1.409827
Galnt3,0.018235,0.521622,1.96628,1.409341
Prdx5,0.3,0.441235,1.966179,1.409632
Rnf215,0.127353,-1.499996,1.963648,1.407493
Zfp238,0.205588,-1.062598,1.963313,1.407549
Lrch3,0.183824,-1.306003,1.962385,1.407012
Pnrc1,0.552941,-0.578988,1.957417,1.402434
Irf2,0.289706,-0.785588,1.955256,1.400663
Ppfia4,0.520294,0.268451,1.954478,1.400275
Mcm3,0.080588,-1.56563,1.950206,1.396392
Ost4,0.134706,0.863123,1.947343,1.393918
Glt25d1,0.153529,0.820864,1.946737,1.3937
Pcbp2,0.312353,0.41783,1.944836,1.392188
Tifab,0.242353,-1.239829,1.942376,1.390116
Mrpl27,0.034412,1.781776,1.941914,1.390041
Gatm,0.261765,-1.2446,1.941381,1.389896
Nol8,0.039412,0.945782,1.93859,1.387492
Osbp,0.093235,-0.388914,1.936342,1.38563
Rmnd5b,0.037647,-5.168038,1.936031,1.385705
Slc25a45,0.201471,-1.033409,1.935863,1.385923
Wdr61,0.102647,-1.615121,1.924005,1.374451
Ppfibp2,0.039412,-3.649165,1.923754,1.374585
Zfp141,0.085,-4.173039,1.922531,1.373747
Rab8b,0.237941,-0.422892,1.92045,1.37205
Sh2d3c,0.093235,-1.695017,1.919896,1.371881
Slc25a25,0.027941,0.75396,1.918078,1.370446
Ikzf1,0.424412,-1.019037,1.916568,1.36932
Gprasp2,0.041176,NaN,1.91604,1.369175
Relt,0.035294,NaN,1.91604,1.369558
Ccdc112,0.062059,NaN,1.916036,1.369936
Git2,0.471765,-1.230534,1.913603,1.367885
1200014J11Rik,0.187059,-2.526725,1.912769,1.367433
Rrbp1,1.364706,-0.479896,1.911738,1.366784
Snap47,0.026176,0.970939,1.911522,1.366949
Mdm4,0.05,-2.770074,1.910301,1.366108
Jun,0.365588,-1.243077,1.91026,1.366448
Was,0.215588,-0.964608,1.909493,1.366061
Crtap,0.1,0.46149,1.90507,1.362018
2510002D24Rik,0.038235,-1.868478,1.904201,1.361529
Smg1,0.158824,-0.622802,1.901906,1.359612
Pcna,0.085588,1.220734,1.900811,1.358896
Pgam5,0.026176,0.76562,1.900556,1.35902
Tmsb4x,11.087647,0.138671,1.899576,1.358418
Kidins220,0.102647,0.856554,1.899546,1.358766
H2-Eb1,0.115882,0.438729,1.898401,1.357998
Banf1,0.063235,0.476087,1.895134,1.355109
Trp53bp1,0.061176,-2.061123,1.8918,1.352151
Tagln2,0.075588,0.665541,1.891472,1.3522
Ptma,0.282353,0.561696,1.891294,1.352398
Pabpn1,0.179706,-2.083216,1.890945,1.352425
Junb,0.344412,-0.838001,1.890171,1.352026
Zmiz1,0.162647,-0.716931,1.890091,1.352321
Agps,0.183235,-1.008183,1.885568,1.348174
A630033H20Rik,0.077353,-4.037032,1.884858,1.347838
Syf2,0.254412,-0.95881,1.881869,1.345223
Clip2,0.051176,0.52857,1.880829,1.344558
Ssh1,0.020294,1.530793,1.873749,1.337851
Klraq1,0.170882,-2.517542,1.870916,1.335391
Atg16l1,0.063235,-2.916231,1.869642,1.334489
Ccdc111,0.053529,-2.768942,1.86829,1.33351
Gm6863,0.134706,0.53579,1.867823,1.333416
Rbmx,0.039706,-2.337963,1.860973,1.326937
Txndc15,0.274706,-1.253957,1.859445,1.325781
Atp6v0e,0.243235,0.320128,1.858242,1.32495
Tmem64,0.204706,-1.344195,1.858141,1.325219
Kdm6b,0.047353,-2.32903,1.856386,1.323835
Rap2a,0.299118,0.392605,1.855405,1.323225
Luc7l3,0.296176,-0.636091,1.855076,1.323267
Neat1,0.069118,0.423051,1.854732,1.323292
Litaf,0.252353,0.540399,1.851324,1.320254
Fam174a,0.115,0.794584,1.84847,1.317768
Rg9mtd1,0.054118,-2.299282,1.848013,1.31768
Atg4c,0.057647,-2.138892,1.848008,1.318043
Ptpn9,0.071471,-2.507888,1.847479,1.317883
Nsmce4a,0.082353,0.382159,1.846986,1.317758
Med19,0.084412,-1.047543,1.844107,1.315246
Setd5,0.093529,-1.458553,1.842744,1.314251
Zfp748,0.065294,-2.207566,1.842541,1.314414
Adam9,0.090882,0.610348,1.841183,1.313423
Trnt1,0.065882,-3.068502,1.836896,1.309502
1500003O03Rik,0.070294,0.692647,1.832772,1.305745
Samhd1,0.193824,-0.838686,1.83212,1.305458
Txndc16,0.055294,0.949799,1.830752,1.304456
Tmem106a,0.037647,1.215666,1.829487,1.303556
Ccdc50,0.339412,-0.740553,1.828451,1.302884
Cul3,0.252941,-1.301521,1.825609,1.300408
Cep63,0.077059,-1.072178,1.823124,1.298287
Rnf19b,0.185588,-1.662179,1.820059,1.295585
Trim30d,0.162941,-1.773985,1.81994,1.29583
mmu-mir-2134-2,0.001471,2.902351,1.812017,1.28827
Fam125b,0.198235,-1.445702,1.809297,1.285913
Tifa,0.291471,-1.012255,1.80923,1.286209
Cryz,0.005294,1.305893,1.808171,1.285512
Tmcc2,0.019706,0.743153,1.80817,1.285873
Lrrc3,0.370588,-1.016035,1.80682,1.284885
Dgkz,0.067941,0.951757,1.806534,1.284961
mmu-mir-689-2,0.046471,1.179233,1.806427,1.285214
Scfd1,0.094118,-1.935377,1.80374,1.282888
Fcgr2b,0.36,0.14443,1.800117,1.279626
2610507B11Rik,0.136176,0.289977,1.798669,1.278539
Taf1d,0.093529,-2.837065,1.794381,1.27461
Usp5,0.031765,0.858434,1.793376,1.273965
Ccny,0.082941,1.063098,1.79253,1.273478
Bcl9,0.078235,-2.31643,1.790069,1.271377
Hist1h2be,0.042353,-3.753,1.788293,1.269959
Atp2b1,0.456765,-1.229721,1.786482,1.268507
Txndc11,0.105882,-1.705695,1.78615,1.268533
Klhl23,0.049118,-3.744387,1.785849,1.268589
Smurf2,0.14,-0.996766,1.78414,1.267238
Gpr77,0.130588,-1.677052,1.78383,1.267286
Clcn7,0.083824,1.184939,1.782452,1.266264
Nipa2,0.188529,-1.458795,1.779692,1.263862
Cox7c,0.062647,0.667108,1.779235,1.26376
5430417L22Rik,0.055882,1.036894,1.776613,1.261495
Lmo4,0.151176,-1.219466,1.776065,1.261303
Sdccag8,0.056765,-2.760495,1.7749,1.260493
Cib1,0.111176,-1.975393,1.774721,1.260669
Sfrs18,0.198824,-1.800733,1.774363,1.260667
Psmg4,0.047647,0.600637,1.774168,1.260826
Ppcdc,0.244706,-1.210266,1.773881,1.260893
Rnf187,0.133529,0.150072,1.773617,1.260983
Nmt1,0.533235,-0.713752,1.773506,1.261226
D930016D06Rik,0.030588,NaN,1.772436,1.26051
Hist1h4i,0.028824,NaN,1.772436,1.260863
Tmem8c,0.040294,NaN,1.772435,1.261215
Kcnd1,0.078235,-2.013867,1.771681,1.260813
Arhgap30,0.285882,-1.204107,1.770519,1.260004
Zranb1,0.124412,-1.400699,1.77023,1.260067
M6pr,0.530588,0.328995,1.77001,1.260199
Mlxipl,0.247059,-1.024302,1.768289,1.258829
Atf7ip,0.21,-1.670538,1.768251,1.259143
N4bp1,0.139118,-1.158917,1.766083,1.257326
Zc3h10,0.027941,0.637146,1.764613,1.256206
Klf3,0.254706,-1.191551,1.76379,1.255733
Rcsd1,0.305588,-0.835871,1.760562,1.252856
Spred1,0.289412,-0.779636,1.759606,1.25225
Fli1,0.310882,-0.721944,1.755746,1.248739
Eif1ax,0.052353,1.339222,1.755683,1.249025
Nfia,0.268824,-1.026808,1.755437,1.249128
Vav2,0.164706,-1.168038,1.755426,1.249466
C130039O16Rik,0.106176,-1.709697,1.752263,1.246651
Srek1ip1,0.171765,-2.249338,1.752196,1.246933
Rassf1,0.066471,-3.528785,1.74827,1.243354
Gtpbp6,0.050294,0.662037,1.748201,1.243633
Trim56,0.078529,-0.853694,1.746493,1.242273
Cass4,0.063824,-3.022699,1.746308,1.242435
Tmem184b,0.15,0.548415,1.745122,1.241595
Gng5,0.129412,0.312697,1.743722,1.240542
Stam,0.064412,-2.855362,1.74337,1.240535
Tubgcp5,0.275588,-1.318844,1.740672,1.238184
Tmem110,0.100588,-2.415965,1.740173,1.238031
2610008E11Rik,0.063235,-2.594303,1.739457,1.23766
Rap1a,0.346765,-1.040469,1.739046,1.237594
Dnajc7,0.269412,-1.112424,1.735384,1.234276
Zfp691,0.121176,-1.330976,1.73477,1.234007
Med30,0.062647,1.114061,1.734451,1.234032
Arl5a,0.038235,0.959341,1.73047,1.230395
Nudcd2,0.068529,-2.710296,1.727734,1.228003
Banp,0.048529,-2.364435,1.720914,1.221527
Trp53i11,0.046765,-2.232993,1.720906,1.221862
Clcc1,0.124412,0.733157,1.720375,1.221674
Ctsh,1.169412,0.398422,1.719805,1.221446
Epc2,0.114118,-0.779266,1.719781,1.221764
Hsd17b11,0.440588,-0.751076,1.716504,1.21883
Atp13a1,0.079118,0.793923,1.712449,1.215116
Cib2,0.03,0.873782,1.710918,1.213927
Eif4b,0.154706,0.500402,1.708237,1.211588
Sema6d,0.057353,-1.687905,1.708112,1.211803
Ubfd1,0.044706,-1.661078,1.707318,1.211351
Smad3,0.195588,-1.045403,1.704524,1.208897
Ifnar1,0.077941,0.440325,1.703626,1.208338
Aga,0.067941,0.800392,1.703501,1.208554
Acap2,0.342941,-1.879657,1.703125,1.208517
Cysltr1,0.214118,-1.010497,1.702979,1.208711
Eif3k,0.154706,0.418752,1.701401,1.207472
Dst,0.432059,-1.0127,1.701269,1.207679
2310001A20Rik,0.044412,1.028186,1.70096,1.207709
Inpp4b,0.06,-1.840463,1.700536,1.207623
Tbcd,0.022941,2.131522,1.69918,1.206605
Zeb1,0.047059,-1.905003,1.698603,1.206366
Gsk3b,0.237059,-0.708932,1.697854,1.205954
2410001C21Rik,0.282941,-1.106387,1.69633,1.204768
Nlrc5,0.005,3.04828,1.696173,1.204947
Csnk1e,0.600588,-0.696199,1.694889,1.204
Maf1,0.200882,-0.763601,1.69444,1.203889
Coro1c,0.096765,1.166986,1.69399,1.203775
Cox5a,0.130588,0.78909,1.692264,1.202384
Copa,0.124412,0.611274,1.692147,1.202603
Snord33,0.032941,0.346535,1.687992,1.198783
Cyfip1,1.253235,-0.386598,1.687764,1.198891
Creb3l1,0,NaN,1.683559,1.195021
Lrrc14b,0,NaN,1.683559,1.195356
Ccdc97,0.144118,-1.284497,1.683019,1.19515
Armc5,0.167059,-1.549601,1.682013,1.194478
Kdm3b,0.102353,-1.253429,1.680738,1.193537
Ptdss1,0.068529,0.654276,1.680563,1.193696
Phyhd1,0.313824,-0.878654,1.679626,1.193092
Fxc1,0.032059,1.213525,1.67646,1.19026
Rac2,0.384118,-0.956735,1.674918,1.189051
Slc25a5,0.495294,0.306578,1.674086,1.188551
Ndfip1,0.076176,-1.599884,1.673468,1.188265
Nus1,0.100882,0.448816,1.673467,1.188597
Rcbtb1,0.052941,0.373532,1.668592,1.184053
Snrpd1,0.052353,0.660009,1.668318,1.184112
Ormdl2,0.057647,1.124143,1.668146,1.184271
Utp11l,0.146765,-2.043471,1.661518,1.177974
B3gnt1,0.155294,-0.85488,1.660206,1.176993
B4galt1,0.387647,-0.913787,1.659107,1.176225
Zmynd8,0.192647,-0.646872,1.659067,1.176515
Galnt2,0.187059,-1.242516,1.657911,1.175689
Nsd1,0.233529,-0.784225,1.657126,1.175234
Eci2,0.082353,0.086383,1.656903,1.175341
Mef2c,1.337647,-0.449461,1.654746,1.173513
Nsun6,0.045294,-5.434824,1.653735,1.172831
Ddx6,0.454412,-0.698034,1.652284,1.171709
Itpripl1,0.264118,-1.059746,1.651833,1.171586
Tmem208,0.110882,0.156184,1.647181,1.167262
Itsn2,0.164118,-1.006757,1.641108,1.161518
Dido1,0.117059,-1.412345,1.639933,1.160671
Rb1,0.070588,-1.460219,1.638354,1.159419
Cd82,0.245588,-0.834751,1.635281,1.156673
Sh3bp5,0.079412,-2.721292,1.634879,1.156599
Hist1h2ao,0.176176,-1.118326,1.63228,1.154327
Fam129a,0.1,1.14367,1.630682,1.153056
Fer,0.041176,NaN,1.627871,1.150571
Oxnad1,0.04,NaN,1.627868,1.150894
Marveld2,0.040294,NaN,1.627867,1.151219
Eif2ak1,0.144706,-1.495843,1.627517,1.151195
Prdm2,0.161176,-1.962289,1.626191,1.150194
Mtap1s,0.093824,-2.093133,1.624903,1.149231
Hmgcl,0.112353,-1.575542,1.623397,1.14805
Man1c1,0.333235,0.388203,1.622664,1.147642
Sdccag3,0.042059,-3.520554,1.622613,1.147916
Ache,0.005294,2.87149,1.621896,1.147523
Idh1,0.066176,0.266108,1.620575,1.146526
Ifit1,0.008529,2.819471,1.619064,1.145339
SCARNA16,0.057059,-3.960596,1.618358,1.144956
Edem2,0.267941,0.349383,1.61807,1.144992
Mgll,0.150882,-1.263962,1.61797,1.145214
Zbp1,0.018235,0.831962,1.616237,1.143804
Prdm1,0.054118,0.363683,1.614023,1.141912
Stxbp3a,0.158824,-0.793642,1.612629,1.140841
Rbm18,0.091471,-2.163406,1.612558,1.141092
Camsap1,0.137059,-1.9237,1.610261,1.139117
BC005561,0.055,-3.714932,1.609872,1.139049
Bend6,0.051176,-3.441056,1.609872,1.139371
4933426M11Rik,0.108529,0.734938,1.609272,1.139092
Mrpl13,0.057647,-0.068502,1.608615,1.138755
Fyco1,0.052941,-3.200459,1.607756,1.138217
Nae1,0.081765,-2.199516,1.607252,1.138034
Os9,0.378235,0.53671,1.606521,1.137622
Srsf11,0.267941,-0.880404,1.604885,1.136307
BC029722,0.029118,1.300638,1.60391,1.135651
Sp3,0.179706,-1.400699,1.602047,1.134108
Atrn,0.023529,1.124744,1.599244,1.131624
Cwc25,0.072941,-1.034771,1.599239,1.131938
Stim1,0.094118,-2.204564,1.597498,1.130516
Nenf,0.093529,0.431968,1.597439,1.130775
1700003F12Rik,0.010294,1.128944,1.596512,1.130167
Ms4a6d,0.192941,-0.111962,1.593051,1.127023
Fbxw7,0.082353,-1.489966,1.5922,1.12649
Pibf1,0.036765,-2.226932,1.591917,1.126525
Zfp715,0.15,-1.04345,1.591674,1.1266
Scarb2,0.203235,0.465509,1.58848,1.123723
Slc25a39,0.069706,0.497808,1.588209,1.123769
Ostf1,0.388824,-0.785,1.586984,1.12286
Frg1,0.122647,-0.652773,1.586338,1.122531
Ran,0.161176,0.465249,1.585876,1.122385
Hars2,0.013529,1.374489,1.58586,1.122684
Igsf8,0.095294,0.744778,1.584184,1.121324
Abca3,0.088824,0.328267,1.58417,1.121626
Pign,0.018529,0.808878,1.58388,1.121651
Rab27a,0.11,0.026535,1.583078,1.121164
Tnfaip8,0.213529,-1.117275,1.582571,1.120972
Slc31a2,0.119118,-2.337963,1.582509,1.121224
Msl1,0.21,-0.873031,1.581795,1.120825
Gm13889,0.067941,0.565176,1.581107,1.120451
Sumf2,0.013235,0.983965,1.579403,1.119061
Eef1g,0.210294,0.235859,1.578229,1.1182
Spen,0.125,-1.489966,1.575694,1.115979
Tacc1,0.517941,-0.5622,1.572766,1.113364
Dnaja1,0.287647,-1.073823,1.572268,1.11318
Traf3ip3,0.115294,-1.212892,1.57037,1.111594
Osbpl8,0.083824,0.405064,1.56737,1.108907
Smap2,0.792353,-0.41002,1.567079,1.108928
Rpl15-ps1,0.125882,0.375897,1.566445,1.108606
Flii,0.11,-1.085576,1.566241,1.108714
Naalad2,0.067941,0.423157,1.565238,1.108023
39326,0.317647,-0.814401,1.565157,1.108253
Dgkq,0.017941,1.149152,1.564782,1.108189
7SK,0.219412,-1.398187,1.563539,1.107257
Asna1,0.045588,1.276937,1.561548,1.105578
Laptm4a,0.761765,-0.533794,1.56037,1.104709
Irf5,0.389412,-0.780502,1.559765,1.104415
Mkrn2,0.025882,0.394898,1.559315,1.104275
Atrx,0.300294,-0.704373,1.558587,1.103857
Ube3b,0.040882,0.667217,1.558499,1.104079
Sdha,0.169412,0.516905,1.558472,1.104361
Rabac1,0.515588,0.129154,1.555204,1.101402
Tmem14c,0.247941,0.27748,1.5543,1.100807
Helz,0.154118,-2.420101,1.553617,1.100433
Ube2g2,0.118529,-1.537272,1.548535,1.095659
St3gal5,0.297647,-0.62747,1.546661,1.094094
Tecr,0.207647,0.513096,1.5464,1.094141
Bckdha,0.108529,-0.981269,1.546365,1.094414
Aif1,1.195294,-0.36882,1.544731,1.093088
Eif3i,0.135588,0.31873,1.542713,1.091377
Notch2,0.199118,-1.515767,1.542618,1.091589
Ptk2b,0.102059,0.459259,1.540149,1.089427
Tpm3-rs7,0.305294,-0.469952,1.539426,1.089011
Dnajc16,0.066765,-0.502733,1.53874,1.088632
Cln3,0.137353,0.665123,1.537075,1.087274
Gsdmd,0.18,-1.076698,1.536952,1.087457
Rnf138,0.082059,-2.292159,1.536174,1.086985
Hnrnph1,0.246765,-0.656563,1.535061,1.086177
Herc2,0.360294,-0.841641,1.53456,1.085982
Tgfbrap1,0.109706,-1.052858,1.533956,1.085683
Dtx3l,0.177941,-0.801499,1.532485,1.084517
