,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
GNS,0.012072403,0.93044894,-0.00060404,0.997682564,0.152157513,0.085018503,0.727896592,0.484129938,-0.237509576,0.006389834
RPL9,0.424923896,6.96E-05,-0.0007207,0.997682564,0.680967856,3.45E-06,0.69326628,0.484129938,0.311278856,0.008102475
SGIP1,-0.068225627,0.515181774,0.01611783,0.889700015,-0.141208599,0.638640387,-1.151646781,0.484244174,0.055467061,0.824548813
A4GALT,-0.005119143,0.947502542,0.438159889,0.13843858,-0.007011832,0.958287873,-0.670415521,0.484521855,0.027136319,0.722400646
ABLIM3,-0.030317608,0.581685561,-0.078845499,0.778589213,0.02042824,0.87692236,-1.397662486,0.484521855,0.033080663,0.751518469
ATP2B4,-0.100800897,0.282603209,0.165659273,0.253878224,-0.056489046,0.787311207,1.438366922,0.484521855,-0.088705526,0.630659509
C030039L03RIK,-0.045669371,0.715956615,0.045557591,0.779247304,-0.062655741,0.763638407,-0.478013298,0.484521855,0.007689391,0.968696918
CMTM6,-0.054747501,0.456697644,-0.840173297,3.05E-05,-0.325983319,3.86E-06,-0.486927406,0.484521855,-0.499951079,2.75E-06
FBXW11,-0.02958884,0.887216539,0.141560624,0.110939344,-0.067202148,0.708760755,0.637456682,0.484521855,-0.219259828,0.01250706
KNDC1,0.136729188,0.392235708,-0.00221853,0.993118093,-0.390317681,0.460903774,-0.958253819,0.484521855,0.422052058,0.509949803
TMEM66,-0.087329954,0.539080506,-0.120321364,0.293071178,-0.118757876,0.168106504,0.67355426,0.484521855,-0.036479654,0.795008645
TOMM22,-0.051219569,0.412401238,0.08002703,0.47300509,0.007054498,0.979666793,0.811282265,0.484521855,-0.081835899,0.626432112
ZFP14,-0.02589953,0.564278819,-0.341994401,0.011321134,-0.065480962,0.53226166,-0.91197556,0.484521855,-0.096446852,0.114522939
PPFIBP2,-0.076497969,0.665209779,-0.364960148,0.008258626,0.052521949,0.898251098,-0.644539441,0.485165182,-0.465825782,0.000147552
FAT1,0.007638712,0.967028914,0.231915265,0.043394049,0.048352636,0.760153898,0.604199161,0.485357368,0.036487979,0.699810838
GTF2F2,-0.038039005,0.769012429,0.05889046,0.800927829,0.180287746,0.105620921,0.909299857,0.485357368,0.08184152,0.480940363
ISG20,0.091700403,0.327980413,0.413640431,0.000942995,0.20287162,0.029360021,1.318396025,0.485357368,-0.008004818,0.94539515
MFSD4,-0.006460874,0.956388426,0.145332129,0.258523172,-0.151537139,0.14844471,-0.686920174,0.485357368,0.206118561,0.009934725
NAP1L4,-0.199706318,0.0011873,-0.111582311,0.378893348,-0.087048645,0.402023826,0.652919032,0.485357368,0.044904139,0.662090877
NFIB,0.071975363,0.594876728,0.005769264,0.984495755,-0.052058789,0.628096494,1.175972688,0.485357368,0.030604816,0.741035872
QTRT1,-0.077075892,0.805379922,0.019501464,0.853877545,-0.097310426,0.649946819,-0.81086182,0.485357368,0.857765009,0.000204212
TNFRSF23,0.001926058,0.965771906,0.111493746,0.241740379,-0.028511465,0.714318402,0.638516605,0.485357368,-0.045777721,0.523904484
UACA,0.005917723,0.935471176,0.431422234,0.00129875,0.019358949,0.898268943,1.128965939,0.485357368,-0.012954159,0.88280927
MYO9B,0.225529596,0.004519004,0.232785627,0.029368088,0.428728686,0.000324339,0.714783987,0.485672566,-0.070381214,0.542516811
JRK,0.000570319,0.99575033,-0.113214341,0.445823878,-0.083092455,0.794717468,-1.065071652,0.48596254,-0.030081967,0.914409294
BZRAP1,0.258240524,0.229882576,-0.144872817,0.313797906,-0.034748331,0.855129782,1.264383901,0.485986723,0.042681488,0.756283625
4933426M11RIK,0.275116066,0.148457508,0.469606081,0.004784512,0.310183969,0.028980935,0.580002834,0.486095636,1.739712786,3.11E-08
BC068157,-0.006223066,0.91414151,0.118419394,0.276230101,-0.029041404,0.737647362,-1.069206448,0.486095636,0.035057532,0.586053908
GOLGA5,0.007200389,0.967028914,0.154137568,0.253966538,0.090667557,0.608465114,0.71270538,0.486095636,-0.148988874,0.110315861
PHLDA3,-0.016785402,0.891729505,2.09584443,6.67E-06,0.066533868,0.795774376,2.805098123,0.486329545,0.09725329,0.542738809
RTN4IP1,-0.170398681,0.251866958,-0.046952048,0.567358271,-0.0039261,0.990323319,0.710615612,0.48662308,-0.55336052,0.001005316
DAGLB,0.015517336,0.87906864,-0.43639867,0.000402151,0.075102867,0.684966907,0.655082922,0.486706268,-0.03204337,0.730295679
ARL6IP1,-0.018416202,0.911200793,0.057434713,0.650007818,0.039359851,0.803954964,0.649563271,0.486762387,-0.313126736,0.000423683
ITGB8,-0.02199462,0.689128084,-0.003181423,0.984554186,-0.065531718,0.572372052,1.319614857,0.486762387,0.030681054,0.930669006
KBTBD7,-0.285071611,0.043130591,-0.278398298,0.049808141,-0.416681253,0.000565983,-0.636605678,0.486762387,-0.699929089,3.86E-05
MT3,-0.030469612,0.37240966,-0.096057789,0.818678508,0.008716644,0.936852019,2.919554401,0.486762387,-0.038792506,0.638498467
UCP2,-0.029205559,0.886953143,0.439343987,0.018232527,0.327716907,0.123079579,0.763849653,0.486762387,0.394940966,0.030291152
VEGFB,-0.184635257,0.431736608,0.283087878,0.018119367,-0.034080664,0.843975695,1.077923215,0.486762387,-0.157079415,0.057392672
CCDC38,0.092623828,0.512494817,0.114085228,0.164697668,-0.137958175,0.436834501,1.823714917,0.486925403,0.191831521,0.319746866
ST3GAL4,0.121332896,0.531474144,-0.038985531,0.760921509,0.075815814,0.7124491,0.994012363,0.487113129,0.744402671,0.000474744
NMU,-0.000400132,0.992809581,-0.078244663,0.778333733,0.042610394,0.661585871,-3.217824501,0.487342639,-0.023377167,0.73478964
SLC1A5,0.020097253,0.776181555,0.601270127,8.91E-05,-0.042924583,0.839509879,1.135160291,0.487697702,0.03157665,0.720060801
CFHR1,0.274523613,0.185192114,0.007920537,0.962838286,-0.102543839,0.304742687,1.095345699,0.48807412,-0.167041167,0.168591774
D11WSU47E,-0.179130265,0.653498033,-0.233793059,0.076540338,-0.219909254,0.275281145,-0.908827722,0.48807412,0.695336298,0.000777346
SH3BP5L,0.000812743,0.9974163,-0.230020574,0.040699171,-0.094883818,0.63856971,-0.85057165,0.48807412,-0.331529417,0.090687602
ACVR1B,-0.103627732,0.035795711,-0.166764537,0.10716344,0.065403707,0.737612854,0.810050712,0.488523377,0.093886291,0.241666023
FGA,-0.032904609,0.535514326,-0.017231338,0.958701686,-0.002458634,0.992819173,2.476426425,0.488723474,0.010388142,0.932890112
TEP1,0.040927474,0.894676807,0.038876726,0.910013443,0.420382084,3.93E-05,0.714813427,0.488723474,-0.778346607,6.88E-06
ELMOD2,-0.032114081,0.830268301,0.118519912,0.60033257,-0.001206795,0.997851604,0.6383166,0.489048069,-0.23123811,0.0748419
FGL2,1.669282208,6.55E-11,0.66734276,0.000271603,2.192661999,6.21E-17,0.986723113,0.489048069,0.203144523,0.084793064
G6PC,0.073951178,0.434348305,0.014176018,0.977464534,0.081949038,0.6388369,3.663118903,0.489048069,-0.100670624,0.236090814
GRINA,0.241267132,0.29409562,0.282782631,0.05080158,0.16228827,0.191355108,0.85302484,0.489048069,-0.215571589,0.143590947
ITGB1,0.053632029,0.663690275,-0.185370677,0.11109469,-0.066378058,0.413394682,0.592950575,0.489048069,0.028462977,0.831659164
LRRC57,-0.017538111,0.918400735,-0.004662334,0.98079067,-0.184018075,0.258732329,0.885784893,0.489048069,0.130994491,0.529411361
OLFR877,0.019787918,0.719640616,0.060954223,0.582063157,0.03464224,0.675236038,-2.662682503,0.489048069,-0.009052674,0.906631762
PSME2,-0.02897139,0.848752715,0.077312155,0.577294149,0.060546286,0.414633677,0.70839285,0.489048069,0.030779495,0.693761254
TRIB3,-0.00244741,0.970712079,2.406291543,1.28E-07,-0.024600644,0.874797544,1.512979736,0.489048069,0.18996468,0.170595081
ZBTB6,0.024632925,0.875949199,-0.293830374,0.006701502,-0.011596263,0.96134942,-0.601746813,0.489048069,0.196757779,0.294316471
DDX27,0.065657855,0.737247779,0.057056165,0.580909219,-0.010523158,0.972740026,0.637817005,0.489606462,0.42675549,0.032996102
GREM1,-0.103940911,0.232252277,0.032604809,0.680383843,-0.188262193,0.199341366,2.202735032,0.489606462,-0.038010398,0.695166666
MAP4K4,0.061757362,0.545743897,-0.372846026,0.002122309,-0.175039841,0.414633677,-0.60083924,0.489606462,-0.331852483,0.143458491
ABHD3,0.037921185,0.882770146,-0.067083676,0.385810848,0.007470672,0.982875996,-1.121750025,0.489937933,-0.252961531,0.134649872
ATP5K,-0.202988173,0.449370327,0.132373745,0.289968953,0.39155697,0.000266492,1.148893515,0.489937933,-0.412141989,0.003870411
GNAT2,-0.012560571,0.878867398,0.027931382,0.97902551,-0.041478549,0.730228244,2.51244038,0.489937933,-0.029870333,0.658964957
SULT1A1,-0.146528993,0.582620358,-0.640066817,0.002601168,-0.158898858,0.782503151,1.144205298,0.489937933,0.739502902,0.000118037
UQCRQ,0.002649907,0.958533365,0.007976787,0.954595987,-0.035428098,0.693772822,1.011677189,0.489937933,0.016000596,0.791365023
ALG3,-0.037103862,0.909645001,-0.073180186,0.683886835,0.050335024,0.650330675,1.008225747,0.490166976,0.15181593,0.031748744
DCPS,-0.133099456,0.224576279,-0.088330382,0.633307639,-0.334831147,0.03479658,-0.987943148,0.490166976,-0.045594071,0.903826183
TOLLIP,-0.138403228,0.109411632,-0.124179085,0.124836389,-0.207651381,0.161396408,0.629630921,0.490166976,0.360272982,0.007073293
CRYM,0.014374846,0.912060366,-0.247110747,0.109703244,-0.068983985,0.349227726,2.684124855,0.490175378,0.026558053,0.793122277
ENOPH1,-0.246301082,0.007081417,-0.039273457,0.833586195,0.099931707,0.64293873,1.0125284,0.490175378,-0.105301708,0.710245377
SDC4,-0.181212466,0.706971096,1.758824813,2.30E-07,0.326496474,0.027707931,0.722970935,0.490175378,2.382101,1.63E-06
ZFP512,-0.026665251,0.887143831,-0.076614682,0.70129728,-0.144540332,0.173310056,-0.609708925,0.490175378,-0.334315818,0.000105032
PAX5,-0.030308899,0.689603847,0.002374478,0.987730106,-0.052118601,0.821660494,4.103587683,0.490376558,0.048270608,0.605795549
UNK,-0.12765825,0.470670895,-0.060361474,0.788208412,0.003911881,0.988226842,0.697749252,0.490577227,-0.433189752,0.000510223
RRP15,-0.033613595,0.71895106,0.152422538,0.197251946,-0.070170931,0.804728045,1.025701402,0.49079569,0.556291894,8.82E-05
SRM,-0.003946029,0.988055468,-0.316788263,0.017175083,0.181779514,0.091579925,1.020251519,0.491122058,0.092918446,0.315695731
ANGPTL1,-0.080004711,0.39248486,-0.060289221,0.538460727,0.050219668,0.868800831,-0.929589765,0.491434601,-0.459639846,0.001283859
CLDN16,-0.019412366,0.944887045,-0.058917143,0.607799034,-0.035254929,0.922012986,-2.256535701,0.491434601,-0.05003827,0.738435565
CSF3,-0.002121826,0.991664213,-0.005449902,0.97113027,0.079878155,0.839509879,-2.256535701,0.491434601,-0.188998277,0.294946627
CTNNA1,-0.038496948,0.906776062,0.177342575,0.146895152,0.056281678,0.637334261,0.677585541,0.491434601,0.050378512,0.758109335
EAR2,0.412031682,0.176909,-0.823108449,0.509138621,0.072441198,0.615931812,-2.256535701,0.491434601,-0.024038013,0.745510714
FNDC3B,0.067030195,0.683554299,0.214624886,0.01546098,0.049468699,0.821660494,0.628542876,0.491434601,0.040473302,0.828995642
MRPL12,0.079809509,0.756568652,0.169275748,0.126145981,0.136651782,0.542786098,1.416564437,0.491434601,0.336810885,0.063618781
MS4A4C,0.272056515,0.00132811,-0.447359943,0.185849799,0.397111692,0.00102189,0.97049566,0.491434601,-0.015953338,0.910742051
OLFR1229,-0.026972097,0.654136495,0.165903916,0.307196175,0.073521151,0.536637307,3.973164111,0.491434601,-0.038190072,0.511206137
TMEM38A,0.041043365,0.720646404,-0.236665034,0.009426095,-0.055631036,0.755800287,-1.145074818,0.491434601,-0.059719825,0.443734537
LRTM1,-0.044587516,0.391442158,-0.037892739,0.745075337,-0.126850378,0.538508686,1.48893567,0.491458722,0.064805429,0.489180669
TOB1,0.118331902,0.26215902,0.261251196,0.117793476,-0.00312249,0.983071238,-0.671128208,0.491458722,0.000754717,0.994143797
NUCB2,0.048292176,0.789003934,0.534455617,0.00018461,0.218697405,0.255045386,0.797421595,0.491459902,-0.001668498,0.991753116
EFEMP2,-0.021156265,0.913295859,1.094680342,1.37E-06,0.227387343,0.165091878,1.10285177,0.491569441,0.407906546,0.00736908
FUBP3,0.004525176,0.961566693,-0.259937731,0.076493949,-0.131579745,0.229320538,0.791238916,0.491581539,-0.199059283,0.053092108
IFI204,0.633282616,1.34E-05,1.365258198,1.73E-05,1.577997015,1.42E-13,0.877968331,0.491581539,1.111384806,9.04E-05
UBTD2,-0.00147646,0.994369263,0.18458993,0.185162602,-0.181422388,0.303414589,1.026455248,0.492106168,0.134968199,0.575540106
FASL,0.01474404,0.88933433,0.116959954,0.653435306,0.024958088,0.808853803,3.041788665,0.492385874,-0.060774259,0.520705597
GNB4,-0.019640448,0.712836451,0.012694242,0.915148154,-0.419770838,7.98E-05,1.344332413,0.492385874,0.12659371,0.41050908
2610034B18RIK,-0.011909923,0.925508986,0.12894891,0.145014748,0.267206182,0.225280554,1.246293249,0.492477368,0.231331385,0.315761363
CD2BP2,0.001946144,0.98332423,0.121849093,0.194038038,0.00126182,0.996717098,0.726584731,0.492507188,-0.033614331,0.824817756
SH3KBP1,-0.011478271,0.918400735,-0.042183584,0.792661478,0.078571042,0.750605814,0.572334349,0.492507188,-0.422578014,0.000736645
CDS1,-0.297207909,0.159842464,-0.292724637,0.211634951,-0.173683715,0.133304984,-0.597269005,0.492929777,-1.099866557,2.61E-07
LSM14A,-0.024020757,0.842904717,-0.072387487,0.81322471,-0.079975491,0.480061376,0.625361162,0.493148319,-0.02518271,0.855896954
PTCD3,-0.189531684,0.305281304,-0.303440214,0.026925968,-0.058889899,0.750261191,-0.633768338,0.493691065,0.05592344,0.841991689
SP4,0.057633542,0.621918492,0.040661874,0.921850879,-0.27968411,0.057905475,-0.723873921,0.493691065,-0.063031215,0.730617641
OLFR1353,0.012559055,0.90936476,-0.066819718,0.413081693,-0.111536993,0.437801961,-2.09828812,0.493706392,0.015658179,0.91395884
RNF125,-0.001616791,0.977917965,-0.023766434,0.96037628,-0.061028296,0.546103502,2.402709162,0.493706392,-0.047423751,0.551434691
ZFP82,0.027037169,0.858034208,-0.241513483,0.128442999,-0.061825701,0.723414353,1.397925219,0.493733854,-0.098485893,0.32107461
MEOX1,-0.003026123,0.951601975,0.896960446,2.35E-06,-0.030211337,0.557475733,2.231104723,0.493752481,0.063501062,0.227954941
TKT,0.16777781,0.289504261,0.302779299,0.049513104,0.17873067,0.082277665,0.96513701,0.493752481,-0.363677668,0.000168075
HCST,0.251851563,0.176857926,0.972786024,9.93E-06,0.446486905,0.000223128,1.328765409,0.493821254,-0.363512843,0.025833355
OLFR441,-0.009423095,0.888079851,0.236970437,0.264130282,0.004100724,0.978241334,-2.125959173,0.493821254,-0.021904128,0.819740728
STK3,0.008473531,0.929420104,0.114333892,0.475028648,-0.032071407,0.885168424,0.609117324,0.493821254,-0.022920495,0.938750005
COX7A2,-0.088271286,0.370994849,0.232329686,0.033152651,0.151639855,0.530362531,0.916774615,0.493970891,-0.086423012,0.69465832
HSP90B1,-0.075322158,0.535514326,0.167008031,0.426003202,0.026452041,0.84959949,0.555360412,0.493970891,-0.152424557,0.052111681
ANKMY2,-0.118246823,0.314322842,-0.036043026,0.833586195,-0.150420538,0.104788739,-0.599091582,0.494506288,-0.569646562,0.000216835
LYL1,-0.062216109,0.892647115,-0.759954074,4.31E-06,-0.365952587,0.01148563,-0.792632484,0.494506288,-0.614915875,0.006186133
PSMA7,-0.03931222,0.796379785,0.043865995,0.720405505,-0.049221649,0.760100479,0.68101675,0.494506288,0.019545415,0.89026106
ZIC5,-0.03839852,0.853317597,-0.029560601,0.779247304,-0.133929023,0.494951866,-2.898545606,0.494506288,0.345482053,0.182849767
BC026585,0.039056514,0.772691352,0.019244566,0.934442888,0.081762809,0.619429442,1.17594628,0.494789514,-0.06012517,0.581833396
EGFL7,0.149753578,0.595104738,-0.064226061,0.887809166,0.18878551,0.55835486,-2.132330996,0.494789514,-0.052671985,0.920235784
KRT86,-0.000908046,0.988559536,-0.018076433,0.954595987,-0.035523022,0.665572269,-2.213121095,0.494789514,0.076440958,0.514469499
AI593442,-0.026129002,0.829468832,-0.066237269,0.616886083,-0.025950903,0.889848565,1.131959715,0.49490209,0.021870422,0.838237865
STAM,-0.124319112,0.35285575,-0.094066922,0.631813952,-0.170305146,0.317797839,-0.658744637,0.49490209,-0.215427461,0.145351312
TMEFF1,0.103447969,0.397913292,0.006824871,0.984554186,0.040512729,0.697671195,-1.379830327,0.49490209,0.002332908,0.983110801
RRM1,-0.046655105,0.621526289,0.09292327,0.682253181,0.374922845,0.000291296,0.673857846,0.495064223,0.075261915,0.717493336
KYNU,0.140649794,0.242411173,0.569329046,2.27E-05,-0.017633908,0.848674761,0.637558137,0.495066368,0.013314532,0.88100857
SLC25A17,0.029730113,0.842904717,-0.124662436,0.112742546,-0.117121355,0.289843591,-0.672438009,0.495066368,-0.170759402,0.09521661
DPP3,-0.068925923,0.801771507,-0.263650307,0.003452451,0.030904917,0.848674761,-0.60937883,0.495267001,-0.274173524,0.001403269
SHH,0.106739146,0.330226068,0.03135295,0.766346767,0.017345755,0.904259676,2.090204911,0.4953401,-0.074042158,0.263884876
UPK3A,0.025424321,0.814443238,-0.043842566,0.742229839,0.047553244,0.861410572,3.836901283,0.4953401,-0.046233125,0.720060801
CAPN3,-0.086624323,0.628110531,-0.511281444,4.08E-05,0.206111627,0.383523886,-0.584468431,0.495698354,-0.78351623,0.000145376
CCBL1,-0.013996207,0.887213969,-0.169709227,0.208995618,0.03431037,0.876319295,1.415995242,0.495698354,0.143145383,0.376770145
GLT8D1,-0.376959136,0.025468019,0.096373104,0.298487494,-0.067568416,0.831336723,-0.455471254,0.495698354,-0.306108762,0.04599364
HIP1R,0.000854818,0.993116443,-0.33297264,0.0298949,0.057381106,0.404111362,-1.129202048,0.495698354,-0.025628731,0.793122277
TARBP2,-0.055945771,0.855708918,0.083108304,0.404330632,-0.321903499,0.096567021,1.099792388,0.495789687,0.066189252,0.793500333
POLR1E,-0.137520947,0.302463276,0.021302675,0.92129123,-0.111560995,0.54823407,0.909550205,0.495912229,0.410139805,0.002862953
GLA,-0.001053929,0.988983279,-0.548805258,0.007093783,0.128432228,0.114560454,0.583247695,0.496208127,0.024770754,0.747772648
TFPT,-0.123030611,0.300853838,0.018584241,0.94134655,-0.07768274,0.638640387,-0.834875418,0.496208127,0.033707568,0.863111848
ADPRHL1,0.101255402,0.654601882,0.136284586,0.285814316,-0.121402581,0.367137965,3.782886569,0.496403553,-0.079576458,0.70693535
IL12B,-0.027795011,0.606143154,3.060491006,9.58E-09,0.021311987,0.847650787,1.597096668,0.496403553,0.293397487,0.178304839
ITPR1,0.362289537,0.20110668,-0.270754351,0.019453301,-0.174552684,0.525421296,-0.648758628,0.496467338,0.27649248,0.20932177
TSPYL1,-0.117967409,0.450205429,-0.164696747,0.20346382,-0.242464373,0.004520033,0.654970107,0.496467338,-0.756579073,9.71E-06
ZFP334,0.006548392,0.966104818,-0.001999291,0.990046685,-0.039814291,0.849654814,1.623587487,0.496467338,0.113285978,0.295965247
IKZF1,-0.214623297,0.001377637,-0.33547216,0.006953968,-0.258812935,0.046493497,-0.560440136,0.497129056,-0.410936409,0.000863766
SLC39A12,0.726199311,0.009249602,-0.851204806,0.000391845,-0.181332618,0.05161876,-1.350306036,0.497191691,0.37514649,0.011872845
GAA,0.412589594,0.048785699,0.3696633,0.005401012,0.41636168,3.67E-05,0.649358997,0.497446894,-0.164418385,0.41151449
TMEM184B,-0.038278302,0.607282235,0.557109051,9.62E-06,0.321224798,0.049724795,0.753568037,0.497446894,0.134479251,0.387433703
OLFR1423,-0.005971821,0.94037031,0.085205991,0.347364661,-0.002952236,0.986897808,1.444140636,0.497556339,-0.026502078,0.748138736
D17WSU92E,0.083541444,0.417960593,0.187588107,0.035332459,0.028155375,0.922012986,0.625267269,0.49756207,0.400632618,0.02416461
HEG1,-0.018986048,0.837906146,-0.04833795,0.658297301,0.114076119,0.406895895,-0.896489306,0.49756207,0.19905854,0.033363494
KCNC3,0.037871072,0.872960738,0.046735485,0.834824331,0.047692165,0.791354992,-1.251706991,0.49756207,-0.151557289,0.43975284
RDH10,0.081928411,0.769616161,-0.238189986,0.320959924,-0.076994801,0.833650095,-0.856865382,0.49756207,-0.108571741,0.767146887
DVL1,0.011873325,0.968858841,-0.126713667,0.318392204,0.001671364,0.996789075,-0.759137286,0.497615116,0.088359515,0.289641665
RYK,-0.018241319,0.875524484,0.071013329,0.661515803,-0.054744007,0.618922324,-0.761471211,0.497615116,-0.001865275,0.980232372
ZAP70,-0.035896236,0.712191224,0.452724084,0.102561285,-0.060449631,0.673510495,4.389556068,0.497648326,0.025130287,0.864814601
ZFP37,-0.138663482,0.570874554,-0.006908474,0.980746332,-0.539748251,0.003111169,0.457074181,0.497648326,0.034089316,0.884262795
SLC35E4,0.071974969,0.114065339,0.844666676,0.000458338,-2.73E-05,0.999899903,-1.51935178,0.498011176,0.031349313,0.604813368
CCNDBP1,0.356281259,0.043130591,-0.002895807,0.991203448,-0.064065462,0.757819412,0.727200144,0.498058709,-0.722391547,0.000162353
COQ3,-0.027970512,0.927749319,0.108923843,0.232934181,0.067116601,0.845540653,1.021769201,0.498058709,-0.314821228,0.318097126
USH1C,-0.026753965,0.605590089,0.016325694,0.888386747,-0.062871316,0.757674632,-1.752267412,0.498096873,0.033601852,0.65549864
ETV4,-0.017632295,0.698818876,0.780291612,0.000727018,0.006460561,0.945222889,1.103989811,0.498166659,0.043231209,0.57477077
BRF1,-0.167557794,0.481208841,-0.03439484,0.794414555,-0.075502406,0.611829924,-0.635304367,0.498183962,-0.318591553,0.052112061
FYN,-0.134609571,0.162926081,0.882912162,1.83E-06,0.134332838,0.544998817,1.021744943,0.498183962,-0.176362845,0.071127827
IL3RA,0.137444647,0.05073391,2.109873709,3.65E-06,-0.046598148,0.757819412,1.200936172,0.498183962,-0.087673309,0.28152536
LCN12,0.019795076,0.702990108,0.019351955,0.964131726,0.007909944,0.94606848,4.435421557,0.498218744,0.026983373,0.719979585
PGLS,0.308032751,0.068135736,0.260176567,0.13370647,-0.055739584,0.867039821,1.484595983,0.498269029,-0.520237534,0.033363494
ADHFE1,0.033310505,0.77990085,-0.006667192,0.966503638,0.004580596,0.990437502,-0.763779902,0.498422358,-0.565022032,0.003877923
FUT4,0.112313334,0.477550976,-0.202142746,0.05285351,-0.046452983,0.911664351,0.917810014,0.498422358,-0.45179872,0.016666316
SNX15,-0.391849569,0.00423813,0.027701779,0.865266276,-0.105882959,0.691844698,0.909591434,0.498422358,0.038077839,0.886529297
SYNC,0.004119474,0.947453176,0.155721033,0.161860356,-0.138091447,0.684966907,-0.875074939,0.498489152,-0.088700941,0.814677212
OLFR1178,-0.027846932,0.523965569,-0.025102369,0.829821994,-0.049242631,0.484323967,-2.222013696,0.498755564,0.065635165,0.405961629
RND3,0.444187335,0.013821208,-0.110281491,0.275020796,-0.073516433,0.678269435,1.165974695,0.499059505,0.05519581,0.686315598
USP54,-0.040504308,0.7932138,-0.058975077,0.71402855,-0.170773985,0.176949188,-0.674800675,0.499059505,-0.148811751,0.265639697
UROD,-0.047516898,0.882244848,-0.128851283,0.362165861,-0.072869687,0.69080769,0.892679051,0.499318498,-0.877272592,7.08E-06
TNFSF9,0.026624196,0.54907071,1.333223873,3.04E-05,0.003025561,0.979109989,1.361387879,0.499711728,0.790997572,0.027032103
MED15,-0.000124533,0.998735817,0.025292409,0.851848565,0.053387844,0.735744844,0.676758394,0.500112381,0.221601986,0.198496368
MYO5A,-0.070452928,0.36243893,1.881745703,3.02E-07,0.165544986,0.175594114,0.463432944,0.500112381,-0.068836636,0.6526526
JMJD4,0.078201657,0.393663636,-0.234930256,0.064615393,-0.07983346,0.693971944,0.611138217,0.500680445,-0.071795504,0.739250624
DEFB26,-0.002598187,0.973336568,0.039668947,0.714822993,-0.052758517,0.535897474,-2.519530149,0.50129813,0.029252219,0.758103362
PTPRCAP,0.013705946,0.918634901,0.154628082,0.611467017,-0.03911762,0.730214717,2.056623086,0.50129813,0.057630964,0.484593414
NOX1,0.027205917,0.660618853,-0.044035101,0.924475471,0.008550368,0.944460317,-1.408610503,0.50153021,0.028744281,0.616344174
AMELX,0.012265015,0.856247243,-0.019026475,0.901112368,-0.013983249,0.850846931,-1.224965056,0.501787416,0.013783052,0.880264067
DPYSL4,-0.074098043,0.614320958,-0.116566143,0.833586195,-0.315082141,0.389352356,1.634675216,0.501787416,0.001877916,0.995403988
GUK1,0.179210891,0.073921471,0.318673291,0.02293976,0.046714654,0.909352502,1.303926108,0.501787416,-0.004556689,0.978227991
OLFR553,-0.042877882,0.360009457,0.010162765,0.963894681,-0.010440017,0.979666793,3.089915535,0.501787416,-0.013854229,0.852876031
NDRG2,0.144803099,0.190577145,-0.190227762,0.049820715,-0.019416882,0.944030469,1.053167924,0.50213997,0.083550484,0.763535441
CDKN2AIPNL,-0.080203296,0.735040923,-0.053657806,0.704507892,0.227455307,0.332117266,0.886276436,0.50233951,0.419572383,0.0410184
BOLA2,0.21665009,0.403873557,0.53511625,0.001676462,0.362503821,0.00938716,0.957539247,0.502653338,-0.191996281,0.036183863
NSUN4,-0.01684457,0.932035289,0.152666442,0.159003894,-0.178789637,0.454580686,-0.564534207,0.502653338,1.072029007,2.42E-06
PRPF19,0.052200866,0.790159989,0.010955137,0.966180559,0.020841534,0.913890621,0.685646295,0.502653338,-0.340930922,0.000348438
SF3A1,0.039500396,0.837266996,-0.15292847,0.270591986,-0.060848925,0.757136914,0.585600491,0.502653338,0.553122469,0.000818915
FUT7,0.084209899,0.3925869,0.41136424,0.083095025,0.024406921,0.776181704,2.348987852,0.503284186,-0.078667017,0.217380965
HSD17B14,0.139794872,0.58617986,-0.073985119,0.369940361,0.177443494,0.29245739,2.252696223,0.503676086,-0.128443063,0.732289905
BTRC,0.025586087,0.885197984,-0.06535527,0.737885648,-0.078218604,0.71489385,0.642955073,0.5042629,-0.232271914,0.076225898
ONECUT3,-0.039319815,0.588909751,-0.032925681,0.789490758,-0.13842821,0.445808741,0.857336937,0.5042629,-0.043952645,0.585772665
SLC25A24,0.392343056,0.093509146,0.014800658,0.975440187,0.046114813,0.876319295,0.915748749,0.5042629,0.130519316,0.615915667
PPP1R7,-0.036458059,0.392235708,-0.186674574,0.025971923,-0.035115253,0.72881474,-0.697129507,0.504585015,0.096597901,0.336892507
VTN,-0.046296594,0.390625211,0.144104661,0.585248374,0.03428218,0.693109841,-1.372564525,0.504585015,-0.023864072,0.752806723
MICAL3,-0.00663892,0.931433177,-0.336017111,0.026615054,-0.545723251,0.000219342,-0.605370054,0.504833997,0.062205487,0.876518213
MTMR9,-0.02388371,0.784219901,-0.057016562,0.618022071,-0.000191746,0.9995303,1.068181154,0.504833997,-0.048458303,0.606296922
PGBD5,0.029101896,0.643263708,-0.154245879,0.10691749,0.061760838,0.630159109,1.335929403,0.50483862,0.007211771,0.936870796
UOX,0.072531599,0.535440036,-0.061735487,0.807764466,-0.028540851,0.821660494,2.529527608,0.504855085,0.02791787,0.826630703
DIO3,0.018903406,0.86722337,0.008499181,0.95098559,0.085023787,0.594117461,-2.802165757,0.50522864,0.009303996,0.94141755
