gene	cluster5_all.signed.value	aging.signed.value
Apoc1	155.477319644972	0.0198641551776581
Apoe	719.306978873789	23.2023058335324
Arhgap5	-31.3793811835098	-0.000251265807040585
Axl	152.037046146294	35.9329892075578
B2m	101.829237444168	1.21614342510955
Bin1	-55.3586636482364	-0.202001392742268
Calm2	-51.2004707698871	0.141682648250823
Ccl3	14.681892401262	16.9005673387591
Ccrl2	31.887976774179	0.0343719609124989
Cd14	24.5497570123671	-0.000959476005777796
Cd164	-40.3576540150284	-1.51960399151059
Cd52	191.285430282795	3.83627041489616
Cd63	208.267310329871	2.81016292824266
Cd74	128.723620786679	20.8451845181093
Cd83	56.2677455769843	1.05559628702417
Cd9	126.108910687611	3.23724645848935
Ckb	-115.681527272001	-0.0830706428349957
Crybb1	-179.511873788933	-0.146607970286415
Cst3	-159.2547355314	0.0650813957445146
Cst7	172.318543509067	11.5620722883455
Ctsb	179.334324983448	0.257420141772042
Ctss	82.7658810285819	0.0482068722635956
Ctsz	105.527688811092	0.24429930235905
Cx3cr1	-135.404582688228	-0.0495593822465979
Cxcl16	56.929114669618	10.6120443333548
Cybb	105.44904434036	14.016608807511
Fabp5	123.028900082571	-0.00572115823809901
Fth1	167.356732781313	1.89386422861278
Gadd45b	27.2802428119757	7.03394731968604e-06
Glul	-24.9257815468925	-0.548546455231606
Gpr34	-162.647855206271	-0.284624889548688
Grn	46.71480786071	0.0880666101806595
Igf1	87.1686946693768	1.15016169433414
Itgax	81.8995683741345	4.82081118434135
Lag3	31.0304111389599	0.705716204824523
Lgals3bp	161.792220497919	7.86905512452276
Lgmn	-93.5853038137644	-3.01203526287389e-07
Ltc4s	-79.0691442673191	-1.44136779618531e-07
Marcks	-63.9377419721213	-0.0090848608765179
Npc2	130.565457167516	0.0586888366046251
Olfml3	-93.072236938289	-0.302168847392247
P2ry12	-277.065984667422	-0.672401329166435
P2ry13	-67.0239057425733	-0.185025949609069
Pld3	76.4711885083761	0.558714067632715
Ptgs1	-45.5431272758814	-0.0312581032644046
Rnase4	-28.9881658617126	-0.911360692352375
Rpl12	56.6735369088698	0.48096754002697
Rpl28	55.0124969397788	0.803087276254838
Rpl29	24.064780120506	0.563597291471933
Rpl34	55.1539619068702	0.739409307167332
Rpl38	67.2687380683107	2.11603875123911
Rpl6	45.5171969644799	6.07639890722961e-05
Rps11	58.1424690902123	0.865609137331334
Rps12	109.968472436411	0.0182418233788131
Rps14	59.3107840407151	0.0738091219504275
Rps19	63.2294384754154	0.035590034670087
Rps21	75.6506478748655	0.350301217088027
Rps24	88.0143400685587	1.16243240797456
Rps27a	69.5997627315058	-0.0419594569783476
Rps5	76.9726084527123	0.165565409440596
Rpsa	97.8068219973708	0.00174891033013094
Selplg	-220.210203218616	-0.306046048758739
Serinc3	-90.9120723909982	-0.737004597348434
Sparc	-94.2768283965513	-0.33339950224846
Spp1	404.359086301795	12.7691495590096
Timp2	126.480957640356	0.00494147407508169
Tlr2	87.8164233479596	5.9499866836902
Tmem119	-237.975160732302	-0.0678617691453361
Tmem176a	104.316403427869	0.022358288593615
Txnip	-23.3992604242562	-0.00214094122028258
