gene	Arf1_WT.signed.value	MS.signed.value
Abca1	-0.275152376942769	-0.00779824820557695
Abcc3	-0.210955392198101	-0.215711342690533
Abhd12	-1.81429456501214	-4.13371286049135
Abi1	-0.0379125033455736	-0.821485431689532
Abi3	-5.23382476562795	-4.94072676783749
Acp2	-1.65472290634457	-0.246688884983353
Adamts1	-0.313992392635125	-22.3676093679321
Adap2	-0.193091750268938	-1.36705426037159
Add1	-0.138266156521377	-0.788125361509118
Adora3	-1.61405945769146	-2.19442126909451
Adrb1	0.700790587802956	-5.17792476022429
Ahcyl1	-0.0108865878852829	0.0126231895531808
Ak1	-0.246857577941833	-1.86418589050038
Ap3d1	-0.00831339473034761	-1.2699680805597
Apoe	280.709245207354	10.8759578600132
App	-0.00810976191098943	1.2585875698503
Arhgap12	-0.129128280143666	-2.56403413148785
Arhgap22	-0.0111720285018626	-0.359721790493735
Arhgap5	-7.06372115173477	-4.52659366303879
Asph	-0.355436311326528	-6.51810086577621
Atf3	-0.01758230771127	-10.1396464950553
Atg4b	-0.0151741075491081	-0.875784869104407
Axl	4.19704877046685	4.25129558795143
Basp1	-32.6236279529361	-1.92702758929374
Bco2	-0.113988271919312	1.12742265854828
Bhlhe41	2.33288058990444	-1.20790190371942
Bin1	-25.6398758823348	-1.8742017923629
Blnk	-2.66817489755588	-18.389856152206
C1qa	1.64037518741924	0.0700308435087594
C1qb	0.002278463527988	0.870187098328836
C1qc	0.00290595673534005	1.15974940701615
C3ar1	0.706257445049188	-5.71551803998151
Cables1	-0.00153389676490549	-1.85260689326481
Cadm1	0.0480621922910412	-4.22255747612044
Cbr3	-0.00845616040855496	1.31720672568627
Ccl12	-0.30987860308558	0.533326350730143
Ccl2	0.483427404555574	2.6523196704221
Ccl3	10.7776682895539	-2.3652726724922
Ccl4	0.802143258279688	-0.244111440778735
Ccl5	-0.00210696288208588	1.10988637455403
Ccl6	0.089391451764404	-1.26931782362332
Ccnd1	-0.0115153121729517	2.87370936402369
Ccr5	-1.92878069935642	-5.46446810892867
Cd14	3.72058761258694	-0.269319036109036
Cd34	0.03755753988691	-0.434354300685071
Cd83	1.19978499473268	-0.114919589595393
Cd86	0.0079922316152279	0.0819672724115811
Chst7	-0.206453755354228	-0.0935268667315985
Ckb	-27.5825341079499	-2.0320079132723
Clstn1	-1.45014455149413	-10.493552173592
Cmklr1	-0.00422126414559079	-0.201979324353899
Cpne2	-0.0131149767074066	-1.00814670863534
Crybb1	0.650126333653233	-3.46303543025681
Csf1	0.0325711660060503	0.79240419403423
